Package Name,Package Type,Custodian,Current Version,Dependencies for Current,Newer Versions,Dependencies for Latest,Latest Version,Suggested Upgrade,Upgrade Instruction,Current Version Vulnerable?,Current Version Vulnerability Details,Upgrade Version Vulnerable?,Upgrade Vulnerability Details
adlfs,Base Package,Unknown,2024.4.1,"azure-core<2.0.0,>=1.28.0; azure-datalake-store<0.1,>=0.0.53; azure-identity; azure-storage-blob>=12.17.0; fsspec>=2023.12.0; aiohttp>=3.7.0; sphinx; extra == ""docs""; myst-parser; extra == ""docs""; furo; extra == ""docs""; numpydoc; extra == ""docs""; pytest; extra == ""tests""; docker; extra == ""tests""; pytest-mock; extra == ""tests""; arrow; extra == ""tests""; dask[dataframe]; extra == ""tests""","2024.7.0, 2024.12.0","azure-core<2.0.0,>=1.28.0; azure-datalake-store<0.1,>=0.0.53; azure-identity; azure-storage-blob>=12.17.0; fsspec>=2023.12.0; aiohttp>=3.7.0; sphinx; extra == ""docs""; myst-parser; extra == ""docs""; furo; extra == ""docs""; numpydoc; extra == ""docs""; pytest; extra == ""tests""; docker; extra == ""tests""; pytest-mock; extra == ""tests""; arrow; extra == ""tests""; dask[dataframe]; extra == ""tests""",2024.12.0,2024.12.0,"{'base_package': 'adlfs==2024.12.0', 'dependencies': ['azure-core==1.34.0', 'azure-datalake-store==0.0.53', 'azure-identity==1.23.0', 'azure-storage-blob==12.26.0b1', 'fsspec==2023.12.2', 'aiohttp==3.11.18', 'sphinx==8.3.0', 'myst-parser==4.0.1', 'furo==2024.8.6', 'numpydoc==1.8.0', 'pytest==8.3.5', 'docker==7.1.0', 'pytest-mock==3.14.0', 'arrow==1.3.0', 'dask==2025.5.0']}",No,,No,None
allennlp,Base Package,Unknown,2.10.1,"torch (<1.13.0,>=1.10.0); torchvision (<0.14.0,>=0.8.1); cached-path (<1.2.0,>=1.1.3); fairscale (==0.4.6); nltk (>=3.6.5); spacy (<3.4,>=2.1.0); numpy (>=1.21.4); tensorboardX (>=1.2); requests (>=2.28); tqdm (>=4.62); h5py (>=3.6.0); scikit-learn (>=1.0.1); scipy (>=1.7.3); pytest (>=6.2.5); transformers (<4.21,>=4.1); sentencepiece (>=0.1.96); filelock (<3.8,>=3.3); lmdb (>=1.2.1); more-itertools (>=8.12.0); termcolor (==1.1.0); wandb (<0.13.0,>=0.10.0); huggingface-hub (>=0.0.16); dill (>=0.3.4); base58 (>=2.1.1); sacremoses; typer (>=0.4.1); protobuf (<4.0.0,>=3.12.0); traitlets (>5.1.1); dataclasses ; python_version < ""3.7""; jsonnet (>=0.10.0) ; sys_platform != ""win32""; checklist (==0.0.11) ; extra == 'all'; checklist (==0.0.11) ; extra == 'checklist'; flake8 (>=4.0.1) ; extra == 'dev'; mypy (==0.961) ; extra == 'dev'; black (==22.6.0) ; extra == 'dev'; pytest-cov (>=3.0.0) ; extra == 'dev'; coverage[toml] (>=6.4) ; extra == 'dev'; codecov (>=2.1.12) ; extra == 'dev'; matplotlib (>=2.2.3) ; extra == 'dev'; responses (>=0.21) ; extra == 'dev'; flaky (>=3.7.0) ; extra == 'dev'; pytest-benchmark (>=3.4.1) ; extra == 'dev'; ruamel.yaml (>=0.17.17) ; extra == 'dev'; pydoc-markdown (<4.4.0) ; extra == 'dev'; databind.core (<=1.5.3) ; extra == 'dev'; databind-json (<=1.5.3) ; extra == 'dev'; docspec (<1.2.0,>1.0.1) ; extra == 'dev'; docspec-python (<1.2.0,>1.0.1) ; extra == 'dev'; mkdocs (==1.3.0) ; extra == 'dev'; mkdocs-material (<8.4.0,>=5.5.0) ; extra == 'dev'; markdown-include (==0.6.0) ; extra == 'dev'; pymdown-extensions (>=9.5) ; extra == 'dev'; twine (<5.0.0,>=1.11.0) ; extra == 'dev'; setuptools ; extra == 'dev'; wheel ; extra == 'dev'",,"torch (<1.13.0,>=1.10.0); torchvision (<0.14.0,>=0.8.1); cached-path (<1.2.0,>=1.1.3); fairscale (==0.4.6); nltk (>=3.6.5); spacy (<3.4,>=2.1.0); numpy (>=1.21.4); tensorboardX (>=1.2); requests (>=2.28); tqdm (>=4.62); h5py (>=3.6.0); scikit-learn (>=1.0.1); scipy (>=1.7.3); pytest (>=6.2.5); transformers (<4.21,>=4.1); sentencepiece (>=0.1.96); filelock (<3.8,>=3.3); lmdb (>=1.2.1); more-itertools (>=8.12.0); termcolor (==1.1.0); wandb (<0.13.0,>=0.10.0); huggingface-hub (>=0.0.16); dill (>=0.3.4); base58 (>=2.1.1); sacremoses; typer (>=0.4.1); protobuf (<4.0.0,>=3.12.0); traitlets (>5.1.1); dataclasses ; python_version < ""3.7""; jsonnet (>=0.10.0) ; sys_platform != ""win32""; checklist (==0.0.11) ; extra == 'all'; checklist (==0.0.11) ; extra == 'checklist'; flake8 (>=4.0.1) ; extra == 'dev'; mypy (==0.961) ; extra == 'dev'; black (==22.6.0) ; extra == 'dev'; pytest-cov (>=3.0.0) ; extra == 'dev'; coverage[toml] (>=6.4) ; extra == 'dev'; codecov (>=2.1.12) ; extra == 'dev'; matplotlib (>=2.2.3) ; extra == 'dev'; responses (>=0.21) ; extra == 'dev'; flaky (>=3.7.0) ; extra == 'dev'; pytest-benchmark (>=3.4.1) ; extra == 'dev'; ruamel.yaml (>=0.17.17) ; extra == 'dev'; pydoc-markdown (<4.4.0) ; extra == 'dev'; databind.core (<=1.5.3) ; extra == 'dev'; databind-json (<=1.5.3) ; extra == 'dev'; docspec (<1.2.0,>1.0.1) ; extra == 'dev'; docspec-python (<1.2.0,>1.0.1) ; extra == 'dev'; mkdocs (==1.3.0) ; extra == 'dev'; mkdocs-material (<8.4.0,>=5.5.0) ; extra == 'dev'; markdown-include (==0.6.0) ; extra == 'dev'; pymdown-extensions (>=9.5) ; extra == 'dev'; twine (<5.0.0,>=1.11.0) ; extra == 'dev'; setuptools ; extra == 'dev'; wheel ; extra == 'dev'",2.10.1,2.10.1,"{'base_package': 'allennlp==2.10.1', 'dependencies': ['torchvision==0.22.0', 'cached-path==1.7.3', 'fairscale==0.4.13', 'nltk==3.9.1', 'spacy==2.3.9', 'numpy==1.26.4', 'tensorboardX==1.9', 'requests==2.32.3', 'tqdm==4.67.1', 'h5py==3.13.0', 'scikit-learn==1.7.0rc1', 'scipy==1.15.3', 'pytest==6.2.5', 'transformers==4.51.3', 'sentencepiece==0.2.0', 'filelock==3.18.0', 'lmdb==1.6.2', 'more-itertools==8.14.0', 'termcolor==1.1.0', 'wandb==0.19.11', 'huggingface-hub==0.31.4', 'dill==0.4.0', 'base58==2.1.1', 'sacremoses==0.1.1', 'typer==0.15.4', 'protobuf==3.20.3', 'traitlets==5.14.3', 'dataclasses==0.8', 'jsonnet==0.21.0', 'checklist==0.0.11', 'flake8==0.0.11', 'mypy==4.0.1', 'black==0.991', 'coverage==3.0.0', 'codecov==6.6.0b1', 'matplotlib==2.1.13', 'responses==2.2.5', 'flaky==0.25.7', 'pytest-benchmark==3.8.1', 'ruamel.yaml==3.4.1', 'pydoc-markdown==0.18.10', 'databind.core==4.8.2', 'databind-json==4.5.2', 'docspec==4.5.2', 'docspec-python==1.3.0', 'mkdocs==1.3.0', 'mkdocs-material==1.6.1', 'markdown-include==5.5.14', 'pymdown-extensions==0.8.1', 'setuptools==1.15.0', 'wheel==80.7.1']}",No,,No,None
absl-py,Dependency Package,Unknown,2.1.0,,"2.2.0, 2.2.1, 2.2.2",,2.2.2,2.2.2,"{'base_package': 'absl-py==2.2.2', 'dependencies': []}",No,,No,None
adal,Dependency Package,Unknown,1.2.7,"PyJWT (<3,>=1.0.0); requests (<3,>=2.0.0); python-dateutil (<3,>=2.1.0); cryptography (>=1.1.0)",,"PyJWT (<3,>=1.0.0); requests (<3,>=2.0.0); python-dateutil (<3,>=2.1.0); cryptography (>=1.1.0)",1.2.7,1.2.7,"{'base_package': 'adal==1.2.7', 'dependencies': ['requests==2.32.3', 'python-dateutil==2.9.0.post0']}",No,,No,None
aiofiles,Dependency Package,Unknown,24.1.0,,,,24.1.0,24.1.0,"{'base_package': 'aiofiles==24.1.0', 'dependencies': []}",No,,No,None
aiohappyeyeballs,Dependency Package,Unknown,2.4.6,,"2.4.7, 2.4.8, 2.5.0, 2.6.0, 2.6.1",,2.6.1,2.6.1,"{'base_package': 'aiohappyeyeballs==2.6.1', 'dependencies': []}",No,,No,None
aiohttp,Dependency Package,Unknown,3.11.13,"aiohappyeyeballs>=2.3.0; aiosignal>=1.1.2; async-timeout<6.0,>=4.0; python_version < ""3.11""; attrs>=17.3.0; frozenlist>=1.1.1; multidict<7.0,>=4.5; propcache>=0.2.0; yarl<2.0,>=1.17.0; aiodns>=3.2.0; (sys_platform == ""linux"" or sys_platform == ""darwin"") and extra == ""speedups""; Brotli; platform_python_implementation == ""CPython"" and extra == ""speedups""; brotlicffi; platform_python_implementation != ""CPython"" and extra == ""speedups""","3.11.14, 3.11.15, 3.11.16, 3.11.17, 3.11.18, 4.0.0a0, 4.0.0a1","aiohappyeyeballs>=2.3.0; aiosignal>=1.1.2; async-timeout<6.0,>=4.0; python_version < ""3.11""; attrs>=17.3.0; frozenlist>=1.1.1; multidict<7.0,>=4.5; propcache>=0.2.0; yarl<2.0,>=1.17.0; aiodns>=3.2.0; (sys_platform == ""linux"" or sys_platform == ""darwin"") and extra == ""speedups""; Brotli; platform_python_implementation == ""CPython"" and extra == ""speedups""; brotlicffi; platform_python_implementation != ""CPython"" and extra == ""speedups""",4.0.0a1,3.11.18,"{'base_package': 'aiohttp==3.11.18', 'dependencies': ['aiohappyeyeballs==2.6.1', 'aiosignal==1.3.2', 'async-timeout==4.0.3', 'attrs==17.4.0', 'frozenlist==1.6.0', 'multidict==4.7.6', 'propcache==0.3.1', 'yarl==1.20.0', 'aiodns==3.4.0', 'Brotli==1.1.0', 'brotlicffi==1.1.0.0']}",No,,No,None
aiosignal,Dependency Package,Unknown,1.3.2,frozenlist>=1.1.0,,frozenlist>=1.1.0,1.3.2,1.3.2,"{'base_package': 'aiosignal==1.3.2', 'dependencies': ['frozenlist==1.6.0']}",No,,No,None
alembic,Dependency Package,Unknown,1.13.3,"SQLAlchemy>=1.4.0; Mako; typing-extensions>=4.12; tzdata; extra == ""tz""","1.14.0, 1.14.1, 1.15.0, 1.15.1, 1.15.2","SQLAlchemy>=1.4.0; Mako; typing-extensions>=4.12; tzdata; extra == ""tz""",1.15.2,1.15.2,"{'base_package': 'alembic==1.15.2', 'dependencies': ['SQLAlchemy==1.4.54', 'Mako==1.3.10', 'typing-extensions==4.13.2', 'tzdata==2025.2']}",No,,No,None
altair,Dependency Package,Unknown,5.4.1,"jinja2; jsonschema>=3.0; narwhals>=1.14.2; packaging; typing-extensions>=4.10.0; python_version < ""3.14""; altair-tiles>=0.3.0; extra == ""all""; anywidget>=0.9.0; extra == ""all""; numpy; extra == ""all""; pandas>=1.1.3; extra == ""all""; pyarrow>=11; extra == ""all""; vega-datasets>=0.9.0; extra == ""all""; vegafusion[embed]>=1.6.6; extra == ""all""; vl-convert-python>=1.7.0; extra == ""all""; duckdb>=1.0; extra == ""dev""; geopandas; extra == ""dev""; hatch>=1.13.0; extra == ""dev""; ipython[kernel]; extra == ""dev""; mistune; extra == ""dev""; mypy; extra == ""dev""; pandas-stubs; extra == ""dev""; pandas>=1.1.3; extra == ""dev""; polars>=0.20.3; extra == ""dev""; pyarrow-stubs; extra == ""dev""; pytest; extra == ""dev""; pytest-cov; extra == ""dev""; pytest-xdist[psutil]~=3.5; extra == ""dev""; ruff>=0.6.0; extra == ""dev""; types-jsonschema; extra == ""dev""; types-setuptools; extra == ""dev""; docutils; extra == ""doc""; jinja2; extra == ""doc""; myst-parser; extra == ""doc""; numpydoc; extra == ""doc""; pillow<10,>=9; extra == ""doc""; pydata-sphinx-theme>=0.14.1; extra == ""doc""; scipy; extra == ""doc""; sphinx; extra == ""doc""; sphinx-copybutton; extra == ""doc""; sphinx-design; extra == ""doc""; sphinxext-altair; extra == ""doc""; vl-convert-python>=1.7.0; extra == ""save""",5.5.0,"jinja2; jsonschema>=3.0; narwhals>=1.14.2; packaging; typing-extensions>=4.10.0; python_version < ""3.14""; altair-tiles>=0.3.0; extra == ""all""; anywidget>=0.9.0; extra == ""all""; numpy; extra == ""all""; pandas>=1.1.3; extra == ""all""; pyarrow>=11; extra == ""all""; vega-datasets>=0.9.0; extra == ""all""; vegafusion[embed]>=1.6.6; extra == ""all""; vl-convert-python>=1.7.0; extra == ""all""; duckdb>=1.0; extra == ""dev""; geopandas; extra == ""dev""; hatch>=1.13.0; extra == ""dev""; ipython[kernel]; extra == ""dev""; mistune; extra == ""dev""; mypy; extra == ""dev""; pandas-stubs; extra == ""dev""; pandas>=1.1.3; extra == ""dev""; polars>=0.20.3; extra == ""dev""; pyarrow-stubs; extra == ""dev""; pytest; extra == ""dev""; pytest-cov; extra == ""dev""; pytest-xdist[psutil]~=3.5; extra == ""dev""; ruff>=0.6.0; extra == ""dev""; types-jsonschema; extra == ""dev""; types-setuptools; extra == ""dev""; docutils; extra == ""doc""; jinja2; extra == ""doc""; myst-parser; extra == ""doc""; numpydoc; extra == ""doc""; pillow<10,>=9; extra == ""doc""; pydata-sphinx-theme>=0.14.1; extra == ""doc""; scipy; extra == ""doc""; sphinx; extra == ""doc""; sphinx-copybutton; extra == ""doc""; sphinx-design; extra == ""doc""; sphinxext-altair; extra == ""doc""; vl-convert-python>=1.7.0; extra == ""save""",5.5.0,5.5.0,"{'base_package': 'altair==5.5.0', 'dependencies': ['jinja2==3.1.6', 'jsonschema==3.2.0', 'narwhals==1.40.0', 'packaging==25.0', 'typing-extensions==4.13.2', 'altair-tiles==0.4.0', 'anywidget==0.9.18', 'numpy==2.2.6', 'pandas==1.5.3', 'vega-datasets==0.9.0', 'vegafusion==1.6.9', 'vl-convert-python==1.7.0', 'duckdb==1.3.0.dev3365', 'hatch==1.14.1', 'mistune==3.1.3', 'mypy==1.15.0', 'pandas-stubs==2.2.3.250308', 'polars==1.5.3', 'pyarrow-stubs==0.20.31', 'pytest==2024.9.4', 'pytest-cov==8.3.5', 'pytest-xdist==6.1.1', 'ruff==3.6.1', 'types-jsonschema==0.11.10', 'types-setuptools==4.23.0.20250516', 'docutils==80.7.0.20250516', 'myst-parser==0.22rc1', 'numpydoc==3.1.6', 'pillow==4.0.1', 'pydata-sphinx-theme==1.8.0', 'sphinx==0.16.1', 'sphinx-copybutton==1.15.3', 'sphinx-design==8.3.0', 'sphinxext-altair==0.5.2']}",No,,No,None
