Base Package,Base Version,dependsBy1,dependsBy2,dependsBy3,dependsBy4,dependsBy5,dependsBy6,dependsBy7,dependsBy8,dependsBy9,dependsBy10,dependsBy11,dependsBy12,dependsBy13,dependsBy14,dependsBy15,dependsBy16,dependsBy17,dependsBy18,dependsBy19,dependsBy20,dependsBy21,dependsBy22,dependsBy23,dependsBy24,dependsBy25,dependsBy26,dependsBy27,dependsBy28,dependsBy29,dependsBy30,dependsBy31,dependsBy32,dependsBy33,dependsBy34,dependsBy35,dependsBy36,dependsBy37,dependsBy38,dependsBy39,dependsBy40,dependsBy41,dependsBy42,dependsBy43,dependsBy44,dependsBy45,dependsBy46,dependsBy47,dependsBy48,dependsBy49,dependsBy50,dependsBy51,dependsBy52,dependsBy53,dependsBy54,dependsBy55,dependsBy56,dependsBy57,dependsBy58,dependsBy59,dependsBy60,dependsBy61,dependsBy62,dependsBy63,dependsBy64,dependsBy65,dependsBy66,dependsBy67,dependsBy68,dependsBy69,dependsBy70,dependsBy71,dependsBy72,dependsBy73,dependsBy74,dependsBy75,dependsBy76,dependsBy77,dependsBy78,dependsBy79,dependsBy80,dependsBy81,dependsBy82,dependsBy83,dependsBy84,dependsBy85,dependsBy86,dependsBy87,dependsBy88,dependsBy89,dependsBy90,dependsBy91,dependsBy92,dependsBy93,dependsBy94,dependsBy95,dependsBy96,dependsBy97,dependsBy98,dependsBy99
adlfs,2024.12.0,aiohappyeyeballs,aiohttp,aiosignal,attrs,azure-core,azure-datalake-store,azure-identity,azure-storage-blob,certifi,cffi,charset-normalizer,cryptography,frozenlist,fsspec,idna,isodate,msal,msal-extensions,multidict,propcache,pycparser,pyjwt,requests,six,typing-extensions,urllib3,yarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allennlp,2.10.1,annotated-types,base58,blis,cached-path,catalogue,certifi,charset-normalizer,click,cloudpathlib,confection,cymem,dill,fairscale,filelock,fsspec,h5py,hf-xet,huggingface-hub,idna,iniconfig,jinja2,joblib,jsonnet,langcodes,language-data,lmdb,marisa-trie,markdown-it-py,markupsafe,mdurl,more-itertools,mpmath,murmurhash,networkx,nltk,numpy,packaging,pillow,pluggy,preshed,protobuf,pydantic,pydantic-core,pygments,pytest,pyyaml,regex,requests,rich,sacremoses,safetensors,scikit-learn,scipy,sentencepiece,setuptools,shellingham,smart-open,spacy,spacy-legacy,spacy-loggers,srsly,sympy,tensorboardx,termcolor,thinc,threadpoolctl,tokenizers,torch,torchvision,tqdm,traitlets,transformers,typer,typing-extensions,typing-inspection,urllib3,wandb,wasabi,weasel,wrapt,,,,,,,,,,,,,,,,,,,
aniso8601,10.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appnope,0.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifacts-keyring,0.4.0,certifi,cffi,charset-normalizer,cryptography,idna,jaraco-classes,jaraco-context,jaraco-functools,jeepney,keyring,more-itertools,pycparser,requests,secretstorage,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asyncio,3.4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
async-timeout,5.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure-keyvault-secrets,4.9.0,azure-core,certifi,charset-normalizer,idna,isodate,requests,six,typing-extensions,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azureml-featurestore,1.1.2,attrs,azure-ai-ml,azure-common,azure-core,azure-identity,azure-mgmt-core,azure-monitor-opentelemetry,azure-storage-blob,azure-storage-file-datalake,azure-storage-file-share,azureml-dataprep,azureml-dataprep-native,azureml-dataprep-rslex,certifi,cffi,charset-normalizer,cloudpickle,colorama,cryptography,idna,isodate,jinja2,jsonschema,jsonschema-specifications,markupsafe,marshmallow,mltable,msal,msal-extensions,msrest,numpy,oauthlib,pandas,pycparser,pydash,pyjwt,python-dateutil,pytz,pyyaml,referencing,requests,requests-oauthlib,rpds-py,six,strictyaml,tqdm,typing-extensions,tzdata,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azureml-fsspec,1.3.1,attrs,azure-core,azure-identity,azureml-dataprep,azureml-dataprep-native,azureml-dataprep-rslex,certifi,cffi,charset-normalizer,cloudpickle,cryptography,fsspec,idna,jsonschema,jsonschema-specifications,msal,msal-extensions,pycparser,pyjwt,pytz,pyyaml,referencing,requests,rpds-py,six,typing-extensions,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azureml-interpret,1.60.0,adal,argcomplete,azure-common,azure-core,azure-graphrbac,azure-mgmt-authorization,azure-mgmt-containerregistry,azure-mgmt-core,azure-mgmt-keyvault,azure-mgmt-network,azure-mgmt-resource,azure-mgmt-storage,azureml-core,backports-tempfile,backports-weakref,bcrypt,certifi,cffi,charset-normalizer,cloudpickle,contextlib2,cryptography,docker,humanfriendly,idna,interpret-community,interpret-core,isodate,jeepney,jmespath,joblib,jsonpickle,knack,llvmlite,ml-wrappers,msal,msal-extensions,msrest,msrestazure,ndg-httpsclient,numba,numpy,oauthlib,packaging,pandas,paramiko,pathspec,pkginfo,pyasn1,pycparser,pygments,pyjwt,pynacl,pyopenssl,python-dateutil,pytz,pyyaml,raiutils,requests,requests-oauthlib,scikit-learn,scipy,secretstorage,shap,six,slicer,tabulate,threadpoolctl,tqdm,typing-extensions,tzdata,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,
backports.tempfile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backports.weakref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bandit,1.8.3,markdown-it-py,mdurl,pbr,pygments,pyyaml,rich,setuptools,stevedore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beanie,1.29.0,annotated-types,click,dnspython,lazy-model,motor,pydantic,pydantic-core,pymongo,toml,typing-extensions,typing-inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bert-score,0.3.13,certifi,charset-normalizer,contourpy,cycler,filelock,fonttools,fsspec,hf-xet,huggingface-hub,idna,jinja2,kiwisolver,markupsafe,matplotlib,mpmath,networkx,numpy,packaging,pandas,pillow,pyparsing,python-dateutil,pytz,pyyaml,regex,requests,safetensors,setuptools,six,sympy,tokenizers,torch,tqdm,transformers,typing-extensions,tzdata,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black,25.1.0,click,mypy-extensions,packaging,pathspec,platformdirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bs4,0.0.2,beautifulsoup4,soupsieve,typing-extensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
configparser,7.2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dash-core-components,2.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dash-html-components,2.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dash-table,5.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets,3.6.0,certifi,charset-normalizer,dill,filelock,fsspec,hf-xet,huggingface-hub,idna,multiprocess,numpy,packaging,pandas,pyarrow,python-dateutil,pytz,pyyaml,requests,six,tqdm,typing-extensions,tzdata,urllib3,xxhash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepchecks,0.19.1,anyio,argon2-cffi,argon2-cffi-bindings,asttokens,attrs,beautifulsoup4,bleach,category-encoders,certifi,cffi,charset-normalizer,comm,contourpy,cycler,debugpy,decorator,defusedxml,executing,fastjsonschema,fonttools,idna,ipykernel,ipython,ipython-pygments-lexers,ipywidgets,jedi,jinja2,joblib,jsonpickle,jsonschema,jsonschema-specifications,jupyter-client,jupyter-core,jupyter-events,jupyter-server,jupyter-server-terminals,jupyterlab-pygments,jupyterlab-widgets,kiwisolver,markupsafe,matplotlib,matplotlib-inline,mistune,narwhals,nbclient,nbconvert,nbformat,nest-asyncio,numpy,overrides,packaging,pandas,pandocfilters,parso,patsy,pexpect,pillow,platformdirs,plotly,prometheus-client,prompt-toolkit,psutil,ptyprocess,pure-eval,pycparser,pygments,pynomaly,pyparsing,python-dateutil,python-json-logger,python-utils,pytz,pyyaml,pyzmq,referencing,requests,rfc3339-validator,rfc3986-validator,rpds-py,scikit-learn,scipy,send2trash,six,sniffio,soupsieve,stack-data,statsmodels,terminado,threadpoolctl,tornado,tqdm,traitlets,typing-extensions,tzdata,urllib3,wcwidth,webencodings,websocket-client,widgetsnbextension
deepdiff,8.4.2,orderly-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
docx,0.2.4,lxml,pillow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elasticsearch,9.0.1,certifi,elastic-transport,python-dateutil,six,typing-extensions,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
email-validator,2.2.0,dnspython,idna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrypoints,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evidently,0.7.4,annotated-types,anyio,appdirs,certifi,cffi,charset-normalizer,click,cryptography,deprecation,distro,dynaconf,faker,filelock,fsspec,h11,httpcore,httpx,idna,iterative-telemetry,joblib,litestar,litestar-htmx,markdown-it-py,mdurl,msgspec,multidict,multipart,mypy-extensions,narwhals,nltk,numpy,packaging,pandas,patsy,plotly,polyfactory,pycparser,pydantic,pydantic-core,pygments,python-dateutil,pytz,pyyaml,regex,requests,rich,rich-click,scikit-learn,scipy,shellingham,six,sniffio,statsmodels,threadpoolctl,tqdm,typer,typing-extensions,typing-inspect,typing-inspection,tzdata,ujson,urllib3,uuid6,uvicorn,watchdog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exceptiongroup,1.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faiss-cpu,1.11.0,numpy,packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faiss-gpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm-haystack,1.26.4.post0,annotated-types,anyio,attrs,backoff,boilerpy3,cattrs,certifi,charset-normalizer,distro,docopt,events,filelock,fsspec,h11,hf-xet,httpcore,httpx,huggingface-hub,idna,inflect,joblib,jsonschema,jsonschema-specifications,lazy-imports,more-itertools,networkx,num2words,numpy,packaging,pandas,pillow,platformdirs,posthog,prompthub-py,pydantic,pydantic-core,python-dateutil,pytz,pyyaml,quantulum3,rank-bm25,referencing,regex,requests,requests-cache,rpds-py,safetensors,scikit-learn,scipy,six,sniffio,sseclient-py,tenacity,threadpoolctl,tiktoken,tokenizers,tqdm,transformers,typeguard,typing-extensions,typing-inspection,tzdata,url-normalize,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fastapi-cli,0.0.7,click,h11,markdown-it-py,mdurl,pygments,rich,rich-toolkit,shellingham,typer,typing-extensions,uvicorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flake8,7.2.0,mccabe,pycodestyle,pyflakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask-httpauth,4.8.0,blinker,click,flask,itsdangerous,jinja2,markupsafe,werkzeug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask-sqlalchemy,3.1.1,blinker,click,flask,greenlet,itsdangerous,jinja2,markupsafe,sqlalchemy,typing-extensions,werkzeug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask-swagger-ui,4.11.1,blinker,click,flask,itsdangerous,jinja2,markupsafe,werkzeug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fqdn,1.5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuzzywuzzy,0.18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gensim,4.3.3,numpy,scipy,smart-open,wrapt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google-generativeai,0.8.5,annotated-types,cachetools,certifi,charset-normalizer,google-ai-generativelanguage,google-api-core,google-api-python-client,google-auth,googleapis-common-protos,idna,proto-plus,protobuf,pyasn1,pyasn1-modules,pydantic,pydantic-core,requests,rsa,tqdm,typing-extensions,typing-inspection,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graphframes,0.6,nose,numpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great-expectations,1.4.3,altair,annotated-types,attrs,backoff,certifi,cffi,charset-normalizer,cryptography,distro,idna,jinja2,jsonschema,jsonschema-specifications,markupsafe,marshmallow,mistune,narwhals,numpy,packaging,pandas,posthog,pycparser,pydantic,pydantic-core,pyparsing,python-dateutil,pytz,referencing,requests,rpds-py,ruamel-yaml,ruamel-yaml-clib,scipy,six,tqdm,typing-extensions,typing-inspection,tzdata,tzlocal,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grpcio-status,1.71.0,googleapis-common-protos,grpcio,protobuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
httptools,0.6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imbalanced-learn,0.13.0,joblib,numpy,scikit-learn,scipy,sklearn-compat,threadpoolctl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
invoke,2.2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ipython-genutils,0.2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isoduration,20.11.0,arrow,python-dateutil,six,types-python-dateutil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jaraco.classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jaraco.context,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jaraco.functools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jsonpath-ng,1.7.0,ply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jsonpath-python,1.0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaleido,0.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kedro-azureml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kedro-boot,0.2.4,antlr4-python3-runtime,appdirs,arrow,attrs,binaryornot,build,cachetools,certifi,chardet,charset-normalizer,click,cookiecutter,dynaconf,fsspec,gitdb,gitpython,idna,importlib-metadata,importlib-resources,jinja2,kedro,kedro-telemetry,markdown-it-py,markupsafe,mdurl,more-itertools,omegaconf,packaging,parse,pluggy,pre-commit-hooks,pygments,pyproject-hooks,python-dateutil,python-slugify,pytoolconfig,pyyaml,requests,rich,rope,ruamel-yaml,ruamel-yaml-clib,six,smmap,text-unidecode,toml,types-python-dateutil,typing-extensions,urllib3,zipp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kedro-datasets,7.0.0,antlr4-python3-runtime,appdirs,arrow,attrs,binaryornot,build,cachetools,certifi,chardet,charset-normalizer,click,cookiecutter,dynaconf,fsspec,gitdb,gitpython,idna,importlib-metadata,importlib-resources,jinja2,kedro,kedro-telemetry,lazy-loader,markdown-it-py,markupsafe,mdurl,more-itertools,omegaconf,packaging,parse,pluggy,pre-commit-hooks,pygments,pyproject-hooks,python-dateutil,python-slugify,pytoolconfig,pyyaml,requests,rich,rope,ruamel-yaml,ruamel-yaml-clib,six,smmap,text-unidecode,toml,types-python-dateutil,typing-extensions,urllib3,zipp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kedro-docker,0.6.2,antlr4-python3-runtime,anyconfig,appdirs,arrow,attrs,binaryornot,build,cachetools,certifi,chardet,charset-normalizer,click,cookiecutter,dynaconf,fsspec,gitdb,gitpython,idna,importlib-metadata,importlib-resources,jinja2,kedro,kedro-telemetry,markdown-it-py,markupsafe,mdurl,more-itertools,omegaconf,packaging,parse,pluggy,pre-commit-hooks,pygments,pyproject-hooks,python-dateutil,python-slugify,pytoolconfig,pyyaml,requests,rich,rope,ruamel-yaml,ruamel-yaml-clib,semver,six,smmap,text-unidecode,toml,types-python-dateutil,typing-extensions,urllib3,zipp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kedro-fast-api,0.6.1,annotated-types,antlr4-python3-runtime,anyio,appdirs,arrow,attrs,binaryornot,build,cachetools,certifi,chardet,charset-normalizer,click,cookiecutter,dynaconf,fastapi,fsspec,gitdb,gitpython,h11,idna,importlib-metadata,importlib-resources,jinja2,kedro,kedro-telemetry,markdown-it-py,markupsafe,mdurl,more-itertools,omegaconf,packaging,parse,pluggy,pre-commit-hooks,pydantic,pydantic-core,pygments,pyproject-hooks,python-dateutil,python-slugify,pytoolconfig,pyyaml,requests,rich,rope,ruamel-yaml,ruamel-yaml-clib,six,smmap,sniffio,starlette,text-unidecode,toml,types-python-dateutil,typing-extensions,typing-inspection,urllib3,uvicorn,zipp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kedro-viz,11.0.1,aiofiles,annotated-types,antlr4-python3-runtime,anyio,appdirs,arrow,asttokens,attrs,binaryornot,build,cachetools,certifi,chardet,charset-normalizer,click,click-default-group,cookiecutter,decorator,dynaconf,executing,fastapi,fsspec,gitdb,gitpython,graphql-core,greenlet,h11,idna,importlib-metadata,importlib-resources,ipython,ipython-pygments-lexers,jedi,jinja2,kedro,kedro-telemetry,markdown-it-py,markupsafe,matplotlib-inline,mdurl,more-itertools,narwhals,networkx,numpy,omegaconf,orjson,packaging,pandas,parse,parso,pathspec,pexpect,plotly,pluggy,pre-commit-hooks,prompt-toolkit,ptyprocess,pure-eval,pydantic,pydantic-core,pygments,pyproject-hooks,python-dateutil,python-slugify,pytoolconfig,pytz,pyyaml,requests,rich,rope,ruamel-yaml,ruamel-yaml-clib,secure,six,smmap,sniffio,sqlalchemy,stack-data,starlette,strawberry-graphql,text-unidecode,toml,traitlets,types-python-dateutil,typing-extensions,typing-inspection,tzdata,urllib3,uvicorn,watchfiles,wcwidth,zipp,,,,,,,
lancedb,0.22.0,annotated-types,deprecation,numpy,overrides,packaging,pyarrow,pydantic,pydantic-core,tqdm,typing-extensions,typing-inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
langchain-community,0.3.23,aiohappyeyeballs,aiohttp,aiosignal,annotated-types,anyio,attrs,certifi,charset-normalizer,dataclasses-json,frozenlist,greenlet,h11,httpcore,httpx,httpx-sse,idna,jsonpatch,jsonpointer,langchain,langchain-core,langchain-text-splitters,langsmith,marshmallow,multidict,mypy-extensions,numpy,orjson,packaging,propcache,pydantic,pydantic-core,pydantic-settings,python-dotenv,pyyaml,requests,requests-toolbelt,sniffio,sqlalchemy,tenacity,typing-extensions,typing-inspect,typing-inspection,urllib3,yarl,zstandard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
langchain-openai,0.3.16,annotated-types,anyio,certifi,charset-normalizer,distro,h11,httpcore,httpx,idna,jiter,jsonpatch,jsonpointer,langchain-core,langsmith,openai,orjson,packaging,pydantic,pydantic-core,pyyaml,regex,requests,requests-toolbelt,sniffio,tenacity,tiktoken,tqdm,typing-extensions,typing-inspection,urllib3,zstandard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ldap3,2.9.1,pyasn1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lightfm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,4.6.0,numpy,scipy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lime,0.2.0.1,contourpy,cycler,fonttools,joblib,kiwisolver,matplotlib,numpy,packaging,pillow,pyparsing,python-dateutil,scikit-image,scikit-learn,scipy,six,threadpoolctl,tqdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
