Base Package,Base Version,dependsBy1,dependsBy2,dependsBy3,dependsBy4,dependsBy5,dependsBy6,dependsBy7,dependsBy8,dependsBy9,dependsBy10,dependsBy11,dependsBy12,dependsBy13,dependsBy14,dependsBy15,dependsBy16,dependsBy17,dependsBy18,dependsBy19,dependsBy20,dependsBy21,dependsBy22,dependsBy23,dependsBy24,dependsBy25,dependsBy26,dependsBy27,dependsBy28,dependsBy29,dependsBy30,dependsBy31,dependsBy32,dependsBy33,dependsBy34,dependsBy35,dependsBy36,dependsBy37,dependsBy38,dependsBy39,dependsBy40,dependsBy41,dependsBy42,dependsBy43,dependsBy44,dependsBy45,dependsBy46,dependsBy47,dependsBy48,dependsBy49,dependsBy50,dependsBy51,dependsBy52,dependsBy53,dependsBy54,dependsBy55,dependsBy56,dependsBy57,dependsBy58,dependsBy59,dependsBy60,dependsBy61,dependsBy62,dependsBy63,dependsBy64,dependsBy65,dependsBy66,dependsBy67,dependsBy68,dependsBy69,dependsBy70,dependsBy71,dependsBy72,dependsBy73,dependsBy74,dependsBy75,dependsBy76,dependsBy77,dependsBy78,dependsBy79,dependsBy80,dependsBy81,dependsBy82,dependsBy83,dependsBy84,dependsBy85,dependsBy86,dependsBy87,dependsBy88,dependsBy89,dependsBy90,dependsBy91,dependsBy92,dependsBy93,dependsBy94,dependsBy95,dependsBy96,dependsBy97,dependsBy98,dependsBy99
optuna,4.3.0,alembic,colorlog,greenlet,mako,markupsafe,numpy,packaging,pyyaml,sqlalchemy,tqdm,typing-extensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdf2image,1.17.0,pillow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdfminer,20191125,pycryptodome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdfrw,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plotly-resampler,0.10.0,blinker,certifi,charset-normalizer,click,dash,flask,idna,importlib-metadata,itsdangerous,jinja2,markupsafe,narwhals,nest-asyncio,numpy,orjson,packaging,pandas,plotly,python-dateutil,pytz,requests,retrying,setuptools,six,tsdownsample,typing-extensions,tzdata,urllib3,werkzeug,zipp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poetry-plugin-export,1.9.0,build,cachecontrol,certifi,cffi,charset-normalizer,cleo,crashtest,cryptography,distlib,dulwich,fastjsonschema,filelock,findpython,idna,installer,jaraco-classes,jaraco-context,jaraco-functools,jeepney,keyring,more-itertools,msgpack,packaging,pbs-installer,pkginfo,platformdirs,poetry,poetry-core,pycparser,pyproject-hooks,rapidfuzz,requests,requests-toolbelt,secretstorage,shellingham,tomlkit,trove-classifiers,urllib3,virtualenv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portalocker,3.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-commit,4.2.0,cfgv,distlib,filelock,identify,nodeenv,platformdirs,pyyaml,virtualenv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyaml,25.1.0,pyyaml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyarrow-hotfix,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyctuator,1.2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyhive,0.7.0,future,python-dateutil,six,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pylance,0.26.1,numpy,pyarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
