Base Package,dependsBy1,dependsBy2,dependsBy3,dependsBy4,dependsBy5,dependsBy6,dependsBy7,dependsBy8,dependsBy9,dependsBy10,dependsBy11,dependsBy12,dependsBy13,dependsBy14,dependsBy15,dependsBy16,dependsBy17,dependsBy18,dependsBy19,dependsBy20,dependsBy21,dependsBy22,dependsBy23,dependsBy24,dependsBy25,dependsBy26,dependsBy27,dependsBy28,dependsBy29,dependsBy30,dependsBy31,dependsBy32,dependsBy33,dependsBy34,dependsBy35,dependsBy36,dependsBy37,dependsBy38,dependsBy39,dependsBy40,dependsBy41,dependsBy42,dependsBy43,dependsBy44,dependsBy45,dependsBy46,dependsBy47,dependsBy48,dependsBy49,dependsBy50,dependsBy51,dependsBy52,dependsBy53,dependsBy54,dependsBy55,dependsBy56,dependsBy57,dependsBy58,dependsBy59,dependsBy60,dependsBy61,dependsBy62,dependsBy63,dependsBy64,dependsBy65,dependsBy66,dependsBy67,dependsBy68,dependsBy69,dependsBy70,dependsBy71,dependsBy72,dependsBy73,dependsBy74,dependsBy75,dependsBy76,dependsBy77,dependsBy78,dependsBy79,dependsBy80,dependsBy81,dependsBy82,dependsBy83,dependsBy84,dependsBy85,dependsBy86,dependsBy87,dependsBy88,dependsBy89,dependsBy90,dependsBy91,dependsBy92
jsonpath-ng,ply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jsonpath-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaleido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kedro-azureml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kedro-boot,antlr4-python3-runtime,appdirs,arrow,attrs,binaryornot,build,cachetools,certifi,chardet,charset-normalizer,click,cookiecutter,dynaconf,fsspec,gitdb,gitpython,idna,importlib-metadata,importlib-resources,jinja2,kedro,kedro-telemetry,markupsafe,more-itertools,omegaconf,packaging,parse,pluggy,pre-commit-hooks,pyproject-hooks,python-dateutil,python-slugify,pyyaml,requests,rich,rope,six,smmap,toml,tomli,types-python-dateutil,typing-extensions,urllib3,zipp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kedro-datasets,antlr4-python3-runtime,appdirs,arrow,attrs,binaryornot,build,cachetools,certifi,chardet,charset-normalizer,click,cookiecutter,dynaconf,fsspec,gitdb,gitpython,idna,importlib-metadata,importlib-resources,jinja2,kedro,kedro-telemetry,lazy-loader,markupsafe,more-itertools,omegaconf,packaging,parse,pluggy,pre-commit-hooks,pyproject-hooks,python-dateutil,python-slugify,pyyaml,requests,rich,rope,six,smmap,toml,tomli,types-python-dateutil,typing-extensions,urllib3,zipp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kedro-docker,antlr4-python3-runtime,anyconfig,appdirs,arrow,attrs,binaryornot,build,cachetools,certifi,chardet,charset-normalizer,click,cookiecutter,dynaconf,fsspec,gitdb,gitpython,idna,importlib-metadata,importlib-resources,jinja2,kedro,kedro-telemetry,markupsafe,more-itertools,omegaconf,packaging,parse,pluggy,pre-commit-hooks,pyproject-hooks,python-dateutil,python-slugify,pyyaml,requests,rich,rope,semver,six,smmap,toml,tomli,types-python-dateutil,typing-extensions,urllib3,zipp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kedro-fast-api,antlr4-python3-runtime,anyio,appdirs,arrow,attrs,binaryornot,build,cachetools,certifi,chardet,charset-normalizer,click,cookiecutter,dnspython,dynaconf,email-validator,exceptiongroup,fastapi,fastapi-cli,fsspec,gitdb,gitpython,h11,httpcore,httpx,idna,importlib-metadata,importlib-resources,jinja2,kedro,kedro-telemetry,markupsafe,more-itertools,omegaconf,packaging,parse,pluggy,pre-commit-hooks,pydantic,pyproject-hooks,python-dateutil,python-multipart,python-slugify,pyyaml,requests,rich,rope,six,smmap,sniffio,starlette,toml,tomli,typer,types-python-dateutil,typing-extensions,urllib3,uvicorn,zipp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kedro-viz,aiofiles,antlr4-python3-runtime,anyio,appdirs,arrow,attrs,binaryornot,build,cachetools,certifi,chardet,charset-normalizer,click,click-default-group,cookiecutter,decorator,dnspython,dynaconf,email-validator,exceptiongroup,fastapi,fastapi-cli,fsspec,gitdb,gitpython,h11,httpcore,httpx,idna,importlib-metadata,importlib-resources,ipython,jedi,jinja2,kedro,kedro-telemetry,markupsafe,matplotlib-inline,more-itertools,networkx,numpy,omegaconf,orjson,packaging,pandas,parse,parso,pexpect,plotly,pluggy,pre-commit-hooks,prompt-toolkit,ptyprocess,pydantic,pygments,pyproject-hooks,python-dateutil,python-multipart,python-slugify,pytz,pyyaml,requests,rich,rope,secure,six,smmap,sniffio,sqlalchemy,stack-data,starlette,strawberry-graphql,toml,tomli,toposort,traitlets,typer,types-python-dateutil,typing-extensions,tzdata,urllib3,uvicorn,watchgod,zipp,,,,,,,,
keras,absl-py,h5py,ml-dtypes,namex,numpy,optree,packaging,rich,typing-extensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lancedb,attrs,cachetools,certifi,charset-normalizer,deprecation,idna,overrides,packaging,pydantic,pylance,ratelimiter,requests,retry,tqdm,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
langchain-community,aiohappyeyeballs,aiohttp,aiosignal,anyio,async-timeout,attrs,certifi,charset-normalizer,dataclasses-json,exceptiongroup,frozenlist,h11,httpcore,httpx,idna,jsonpatch,jsonpointer,langchain,langchain-core,langchain-text-splitters,langsmith,marshmallow,multidict,numpy,orjson,packaging,propcache,pydantic,pyyaml,requests,requests-toolbelt,sniffio,sqlalchemy,tenacity,typing-extensions,typing-inspect,urllib3,yarl,zstandard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
langchain-openai,anyio,certifi,charset-normalizer,distro,exceptiongroup,h11,httpcore,httpx,idna,jiter,jsonpatch,jsonpointer,langchain-core,langsmith,openai,orjson,packaging,pydantic,pyyaml,requests,requests-toolbelt,sniffio,tenacity,tiktoken,tqdm,typing-extensions,urllib3,zstandard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
langcodes,language-data,marisa-trie,setuptools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
langdetect,six,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ldap3,pyasn1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libclang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lightfm,certifi,charset-normalizer,idna,numpy,requests,scikit-learn,scipy,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,numpy,scipy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lime,contourpy,cycler,fonttools,kiwisolver,matplotlib,numpy,packaging,pillow,pyparsing,python-dateutil,scikit-image,scikit-learn,scipy,six,tqdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llama-hub,aiohappyeyeballs,aiohttp,aiosignal,anyio,async-timeout,attrs,beautifulsoup4,certifi,charset-normalizer,click,dataclasses-json,deprecated,dirtyjson,distro,exceptiongroup,frozenlist,fsspec,h11,html2text,httpcore,httpx,idna,jiter,joblib,llama-cloud,llama-index,llama-index-agent-openai,llama-index-cli,llama-index-core,llama-index-embeddings-openai,llama-index-indices-managed-llama-cloud,llama-index-legacy,llama-index-llms-openai,llama-index-multi-modal-llms-openai,llama-index-program-openai,llama-index-question-gen-openai,llama-index-readers-file,llama-index-readers-llama-parse,llama-parse,marshmallow,multidict,nest-asyncio,networkx,nltk,numpy,openai,packaging,pandas,pillow,propcache,psutil,pyaml,pydantic,pypdf,python-dateutil,pytz,pyyaml,regex,requests,retrying,six,sniffio,soupsieve,sqlalchemy,striprtf,tenacity,tiktoken,tqdm,typing-extensions,typing-inspect,tzdata,urllib3,wrapt,yarl,,,,,,,,,,,,,,,,,,
llama-index-embeddings-azure-openai,aiohappyeyeballs,aiohttp,aiosignal,anyio,async-timeout,attrs,azure-core,azure-identity,certifi,cffi,charset-normalizer,click,cryptography,dataclasses-json,deprecated,dirtyjson,distro,exceptiongroup,frozenlist,fsspec,h11,httpcore,httpx,idna,jiter,joblib,llama-index-core,llama-index-embeddings-openai,llama-index-llms-azure-openai,llama-index-llms-openai,marshmallow,msal,msal-extensions,multidict,nest-asyncio,networkx,nltk,numpy,openai,packaging,pillow,portalocker,propcache,pycparser,pydantic,pyjwt,pyyaml,regex,requests,six,sniffio,sqlalchemy,tenacity,tiktoken,tqdm,typing-extensions,typing-inspect,urllib3,wrapt,yarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llamaindex-py-client,anyio,certifi,exceptiongroup,h11,httpcore,httpx,idna,pydantic,sniffio,typing-extensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llama-index-readers-json,aiohappyeyeballs,aiohttp,aiosignal,anyio,async-timeout,attrs,certifi,charset-normalizer,click,dataclasses-json,deprecated,dirtyjson,exceptiongroup,frozenlist,fsspec,h11,httpcore,httpx,idna,joblib,llama-index-core,marshmallow,multidict,nest-asyncio,networkx,nltk,numpy,packaging,pillow,propcache,pydantic,pyyaml,regex,requests,sniffio,sqlalchemy,tenacity,tiktoken,tqdm,typing-extensions,typing-inspect,urllib3,wrapt,yarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llama-index-vector-stores-azurecosmosmongo,aiohappyeyeballs,aiohttp,aiosignal,anyio,async-timeout,attrs,certifi,charset-normalizer,click,dataclasses-json,deprecated,dirtyjson,exceptiongroup,frozenlist,fsspec,h11,httpcore,httpx,idna,joblib,llama-index-core,marshmallow,multidict,nest-asyncio,networkx,nltk,numpy,packaging,pillow,propcache,pydantic,pymongo,pyyaml,regex,requests,sniffio,sqlalchemy,tenacity,tiktoken,tqdm,typing-extensions,typing-inspect,urllib3,wrapt,yarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
markdown-it-py,mdurl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlflow,alembic,aniso8601,blinker,cachetools,certifi,charset-normalizer,click,cloudpickle,contourpy,cycler,databricks-sdk,deprecated,docker,entrypoints,flask,fonttools,gitdb,gitpython,google-auth,graphene,graphql-core,graphql-relay,gunicorn,idna,importlib-metadata,itsdangerous,jinja2,kiwisolver,mako,markdown,markupsafe,matplotlib,mlflow-skinny,numpy,opentelemetry-api,opentelemetry-sdk,opentelemetry-semantic-conventions,packaging,pandas,pillow,protobuf,pyarrow,pyasn1-modules,pyparsing,python-dateutil,pytz,pyyaml,querystring-parser,requests,rsa,scikit-learn,scipy,six,smmap,sqlalchemy,sqlparse,typing-extensions,tzdata,urllib3,werkzeug,wrapt,zipp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mongomock-motor,mongomock,packaging,sentinels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monotonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motor-types,pymongo,typing-extensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpmath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
murmurhash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mypy,mypy-extensions,tomli,typing-extensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neo4j,pytz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nh3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nodeenv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notebook,anyio,argon2-cffi,argon2-cffi-bindings,async-lru,attrs,babel,beautifulsoup4,bleach,certifi,cffi,charset-normalizer,comm,debugpy,decorator,defusedxml,exceptiongroup,fastjsonschema,h11,httpcore,httpx,idna,ipykernel,ipython,jedi,jinja2,json5,jsonschema,jsonschema-specifications,jupyter-client,jupyter-core,jupyter-events,jupyter-lsp,jupyter-server,jupyter-server-terminals,jupyterlab,jupyterlab-pygments,jupyterlab-server,markupsafe,matplotlib-inline,mistune,nbclient,nbconvert,nbformat,nest-asyncio,notebook-shim,overrides,packaging,pandocfilters,parso,pexpect,platformdirs,prometheus-client,prompt-toolkit,psutil,ptyprocess,pycparser,pygments,python-dateutil,python-json-logger,pyyaml,pyzmq,referencing,requests,rfc3339-validator,rfc3986-validator,rpds-py,send2trash,setuptools,six,sniffio,soupsieve,stack-data,terminado,tinycss2,tomli,tornado,traitlets,typing-extensions,urllib3,webencodings,websocket-client,,,,,,,,,,,
num2words,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oauthlib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olefile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onnx,numpy,protobuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onnxruntime,coloredlogs,flatbuffers,humanfriendly,numpy,packaging,protobuf,sympy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opencv-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openpyxl,et-xmlfile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opensearch-py,certifi,charset-normalizer,idna,python-dateutil,requests,six,urllib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opt-einsum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optuna,alembic,colorlog,mako,markupsafe,numpy,packaging,pyyaml,sqlalchemy,tqdm,typing-extensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outcome,attrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdf2image,pillow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdfminer,pycryptodome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdfrw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plotly-resampler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pmdarima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poetry-core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poetry-plugin-export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-commit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preshed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pure-eval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyctuator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydantic-core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydantic-settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyhive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pylint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyltr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pymupdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pymupdfb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyodbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyproject-api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pysocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytesseract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytest-asyncio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytest-cov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytest-httpx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytest-mock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytest-sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python-dotenv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python-iso639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python-ldap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python-magic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python-oxmsg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python-utils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytoolconfig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pywin32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pywin32-ctypes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
readme-renderer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recordlinkage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reportlab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rfc3986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruamel.yaml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruamel.yaml.clib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safetensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schemdraw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
